Age (kyr BP)	Hematite/(Hematite+Goethite)
28.230	0.792
28.314	0.831
28.398	0.829
28.482	0.859
28.567	0.632
28.651	0.488
28.735	0.688
28.819	0.763
28.903	0.860
28.988	0.754
29.072	0.685
29.156	0.673
29.238	0.624
29.319	0.644
29.400	0.664
29.481	0.633
29.562	0.601
29.643	0.652
29.724	0.680
29.805	0.744
29.885	0.813
29.965	0.724
30.045	0.604
30.124	0.759
30.204	0.795
30.284	0.720
30.364	0.789
30.444	0.772
30.531	0.737
30.618	0.717
30.705	0.751
30.793	0.665
30.880	0.760
30.967	0.719
31.054	0.729
31.133	0.560
31.227	0.569
31.321	0.748
31.415	0.814
31.509	0.666
31.603	0.692
31.697	0.713
31.791	0.827
31.885	0.539
31.978	0.675
32.068	0.737
32.158	0.701
32.248	0.650
32.338	0.801
32.428	0.752
32.518	0.599
32.608	0.553
32.698	0.658
32.787	0.568
32.874	0.666
32.961	0.325
33.048	0.291
33.135	0.430
33.222	0.713
33.309	0.717
33.396	0.877
33.483	0.699
33.554	0.624
33.608	0.771
33.663	0.834
33.717	0.667
33.771	0.704
33.826	0.606
33.880	0.523
33.935	0.684
33.989	0.866
34.043	0.682
34.096	0.777
34.148	0.895
34.201	0.906
34.254	0.795
34.307	0.751
34.360	0.756
34.413	0.618
34.466	0.541
34.521	0.485
34.576	0.450
34.632	0.489
34.687	0.398
34.742	0.522
34.798	0.504
34.853	0.529
34.909	0.522
34.964	0.547
35.036	0.544
35.110	0.696
35.184	0.737
35.259	0.736
35.333	0.579
35.408	0.796
35.482	0.798
35.556	0.802
35.631	0.777
35.707	0.809
35.783	0.489
35.859	0.701
35.934	0.524
36.010	0.564
36.086	0.653
36.162	0.670
36.238	0.629
36.309	0.626
36.389	0.799
36.469	0.681
36.548	0.599
36.628	0.778
36.708	0.810
36.788	0.827
36.868	0.808
36.947	0.811
37.027	0.680
37.112	0.756
37.203	0.786
37.294	0.806
37.385	0.789
37.475	0.756
37.566	0.781
37.657	0.827
37.748	0.777
37.839	0.814
37.930	0.705
38.021	0.679
38.113	0.589
38.205	0.285
38.296	0.175
38.388	0.222
38.480	0.110
38.571	0.412
38.663	0.701
38.755	0.595
38.847	0.539
38.941	0.626
39.035	0.738
39.129	0.821
39.223	0.818
39.317	0.629
39.411	0.702
39.505	0.862
39.599	0.867
39.693	0.745
39.785	0.768
39.876	0.729
39.967	0.754
40.058	0.748
40.149	0.585
40.240	0.750
40.331	0.727
40.422	0.522
40.513	0.538
40.603	0.618
40.674	0.565
40.744	0.763
40.815	0.824
40.885	0.855
40.956	0.810
41.026	0.809
41.097	0.767
41.167	0.802
41.238	0.844
41.307	0.835
41.376	0.699
41.445	0.821
41.514	0.791
41.652	0.807
41.721	0.640
41.859	0.517
41.928	0.563
41.996	0.593
42.064	0.826
42.131	0.676
42.199	0.769
42.269	0.731
42.340	0.672
42.410	0.714
42.480	0.699
42.551	0.785
42.622	0.825
42.694	0.795
42.766	0.779
42.838	0.860
42.910	0.690
42.982	0.858
43.054	0.684
43.126	0.666
43.198	0.744
43.270	0.724
43.342	0.739
43.414	0.822
43.486	0.767
43.558	0.791
43.630	0.701
43.702	0.754
43.774	0.753
43.846	0.699
43.918	0.772
43.992	0.813
44.066	0.827
44.140	0.626
44.213	0.783
44.287	0.835
44.361	0.927
44.435	0.663
44.509	0.655
44.582	0.741
44.653	0.695
44.722	0.580
44.792	0.476
44.862	0.546
44.932	0.638
45.002	0.483
45.072	0.510
45.142	0.606
45.211	0.721
45.278	0.617
45.343	0.464
45.407	0.390
45.472	0.455
45.537	0.553
45.602	0.515
45.666	0.644
45.731	0.617
45.796	0.600
45.861	0.712
45.927	0.537
45.993	0.614
46.058	0.619
46.124	0.583
46.190	0.659
46.256	0.661
46.322	0.740
46.387	0.730
46.453	0.746
46.517	0.666
46.581	0.671
46.646	0.669
46.710	0.662
46.774	0.582
46.839	0.618
46.903	0.614
46.967	0.635
47.036	0.608
47.106	0.718
47.177	0.737
47.247	0.744
47.318	0.787
47.388	0.669
47.459	0.777
47.529	0.645
47.600	0.661
47.671	0.646
47.741	0.576
47.811	0.583
47.882	0.293
47.952	0.361
48.023	0.407
48.093	0.709
48.164	0.731
48.234	0.661
48.304	0.432
48.374	0.473
48.444	0.413
48.513	0.334
48.583	0.475
48.652	0.581
48.722	0.490
48.792	0.477
48.861	0.447
48.927	0.570
48.993	0.532
49.060	0.483
49.126	0.526
49.192	0.697
49.258	0.645
49.324	0.588
49.391	0.626
49.457	0.606
49.523	0.523
49.590	0.706
49.656	0.777
49.723	0.729
49.789	0.782
49.856	0.826
49.922	0.713
49.989	0.339
50.056	0.698
50.124	0.624
50.192	0.895
50.259	0.670
50.327	0.584
50.395	0.557
50.462	0.688
50.530	0.736
50.598	0.707
50.664	0.745
50.731	0.709
50.797	0.805
50.863	0.404
50.930	0.394
50.996	0.449
51.063	0.413
51.129	0.487
51.196	0.212
51.263	0.224
51.331	0.295
51.398	0.348
51.459	0.607
51.521	0.449
51.582	0.646
51.644	0.756
51.705	0.743
51.767	0.734
51.828	0.703
51.890	0.801
51.952	0.709
52.014	0.736
52.075	0.606
52.137	0.626
52.199	0.653
52.261	0.739
