Age (kyr BP)	stack-	stack	stack+
12.815	-1.681695179	-1.035402036	-0.389108894
12.915	-1.478987272	-0.988553817	-0.498120361
13.015	-1.363144781	-0.872093266	-0.38104175
13.115	-1.37029821	-0.697147956	-0.023997703
13.215	-1.286396157	-1.064898112	-0.843400066
13.315	-1.347477705	-0.946827285	-0.546176865
13.415	-0.85257685	-0.662460973	-0.472345096
13.515	-0.876176204	-0.188564782	0.49904664
13.615	-0.779415644	-0.10194086	0.575533923
13.715	-0.872817817	-0.272030667	0.328756483
13.815	-0.683289102	-0.022535162	0.638218778
13.915	-0.560244378	-0.361749712	-0.163255046
14.015	-1.455701969	-0.935814654	-0.415927339
14.115	-1.083383906	-0.763796894	-0.444209883
14.215	-0.354226079	-0.246776599	-0.13932712
14.315	0.192601716	0.19446186	0.196322005
14.415	-0.149895705	0.022363871	0.194623447
14.515	-0.660167379	-0.58913548	-0.518103581
14.615	-0.589883424	-0.324935342	-0.05998726
14.715	-0.69440439	-0.139654258	0.415095874
14.815	-0.363880007	-0.156205647	0.051468713
14.915	-0.367307213	-0.207789082	-0.048270951
15.015	-1.137600648	-0.795489686	-0.453378724
15.115	-0.637981969	-0.182218456	0.273545057
15.215	-0.565178095	0.25765529	1.080488675
15.315	-1.929677712	-1.020784836	-0.11189196
15.415	-2.235049536	-1.053133936	0.128781664
15.515	-0.091252918	0.093947904	0.279148726
15.615	-0.162844758	0.319455846	0.801756451
15.715	-0.077568881	0.030283111	0.138135104
15.815	-0.559210608	-0.273088629	0.01303335
15.915	-0.606150564	-0.469169932	-0.332189301
16.015	-0.006018347	0.00938823	0.024794808
16.115	0.359598832	0.54325452	0.726910209
16.215	0.413012284	0.488431467	0.56385065
16.315	0.693745836	0.912403462	1.131061088
16.415	1.053157847	1.285634783	1.518111719
16.515	1.166789701	1.711374847	2.255959994
16.615	0.084373013	0.479746437	0.875119861
16.715	0.172353333	0.609607601	1.046861869
16.815	-1.09088341	0.276280949	1.643445308
16.915	-1.270889599	-0.395216882	0.480455834
17.015	-0.651136263	0.110189237	0.871514737
17.115	-0.744318262	0.316278981	1.376876225
17.215	-0.650953616	0.085941729	0.822837074
17.315	-0.190374236	0.38465739	0.959689017
17.415	-0.792519034	-0.13901646	0.514486114
17.515	-0.354366483	0.608188969	1.570744421
17.615	0.342243858	0.377205064	0.412166271
17.715	0.771296838	0.923895159	1.076493479
17.815	1.320775688	1.325577045	1.330378402
