Age (kyr BP)	SGS (<16μm)
50.808	90.942
50.908	91.115
51.008	89.319
51.108	89.187
51.208	87.832
51.309	84.671
51.413	83.785
51.516	84.589
51.619	84.616
51.722	85.339
51.823	85.298
51.923	84.470
52.023	84.531
52.123	85.462
52.322	82.073
52.422	79.481
52.521	81.447
52.620	83.981
52.719	82.445
52.820	83.458
52.923	82.490
53.025	84.733
53.128	83.667
53.230	86.036
53.333	80.775
53.437	81.267
53.541	NaN
53.645	87.529
53.748	89.727
53.866	94.137
53.997	93.117
54.128	91.224
54.259	90.103
54.391	91.923
54.523	94.255
54.656	94.755
54.789	92.330
54.923	93.907
55.056	91.295
55.188	91.904
55.318	89.938
55.448	91.510
55.578	89.778
55.709	91.353
55.838	90.214
55.967	90.320
56.097	90.257
56.226	91.762
56.355	91.138
56.483	91.384
56.609	91.195
56.735	92.304
56.861	91.509
56.987	91.409
57.114	89.604
57.242	90.404
57.369	91.348
57.496	91.371
57.624	91.258
57.755	92.370
57.889	92.531
58.024	92.152
58.158	92.414
58.293	91.137
58.425	87.776
58.554	79.416
58.683	76.538
58.812	76.581
58.941	66.547
59.070	52.008
59.198	50.892
59.326	48.311
59.454	72.757
59.582	84.493
59.710	86.221
59.839	87.056
59.969	88.350
60.098	87.813
60.227	89.024
60.356	88.826
60.484	89.213
60.613	87.618
60.741	85.940
60.870	85.270
61.000	84.746
61.133	84.897
61.265	85.463
61.397	81.928
61.530	80.748
61.662	81.423
61.793	78.987
61.925	80.719
62.188	78.031
62.319	79.481
62.451	77.364
62.583	76.198
62.715	79.422
62.979	76.747
63.107	82.167
63.236	90.595
63.364	89.893
63.492	80.882
63.604	77.037
63.705	77.564
63.807	76.031
63.909	76.050
64.011	71.674
64.113	71.082
64.215	68.616
64.317	69.445
64.418	72.747
64.520	70.941
64.619	70.305
64.717	76.734
64.815	75.669
64.914	81.211
65.012	81.011
65.115	77.614
65.217	75.995
65.319	76.342
65.422	77.796
65.524	78.220
65.626	77.051
65.728	78.656
65.983	82.251
66.084	82.913
66.185	81.961
66.286	80.834
66.387	79.933
66.488	81.863
66.586	79.865
66.684	82.436
66.782	81.378
66.880	79.135
66.978	81.941
67.077	83.011
67.176	83.085
67.275	75.573
67.374	78.248
67.473	83.681
67.575	85.344
67.677	79.579
67.779	81.435
67.880	83.877
67.981	83.361
68.081	87.971
68.180	86.865
68.280	87.136
68.379	85.826
68.478	86.935
68.578	81.651
68.677	83.695
68.776	83.844
68.876	81.285
68.977	83.404
69.079	82.194
69.182	85.036
69.284	88.152
69.387	82.412
69.488	73.699
69.590	70.055
69.691	52.727
69.793	52.175
