Age (kyr BP)	frequency-dependence susceptibility/Hematite
28.230	0.444
28.314	0.516
28.398	0.547
28.482	0.669
28.567	0.986
28.651	0.592
28.735	0.214
28.819	0.177
28.903	0.145
28.988	0.338
29.072	0.469
29.156	0.151
29.238	0.171
29.319	0.184
29.400	0.434
29.481	0.282
29.562	0.210
29.643	0.309
29.724	0.119
29.805	0.306
29.885	0.150
29.965	0.284
30.045	0.170
30.124	0.184
30.204	NaN
30.284	0.125
30.364	0.201
30.444	0.282
30.531	0.186
30.618	0.197
30.705	0.361
30.793	0.299
30.880	0.535
30.967	0.428
31.054	0.326
31.133	0.807
31.227	0.813
31.321	0.420
31.415	0.219
31.509	0.189
31.603	0.193
31.697	0.180
31.791	0.124
31.885	0.443
31.978	0.219
32.068	0.144
32.158	0.167
32.248	0.396
32.338	0.172
32.428	0.352
32.518	0.529
32.608	0.585
32.698	0.493
32.787	0.378
32.874	0.316
32.961	0.605
33.048	0.958
33.135	0.622
33.222	0.946
33.309	1.137
33.396	1.064
33.483	0.826
33.554	0.927
33.608	1.089
33.663	1.015
33.717	1.081
33.771	1.128
33.826	0.504
33.880	0.500
33.935	0.351
33.989	0.349
34.043	0.430
34.096	0.377
34.148	0.636
34.201	0.798
34.254	2.049
34.307	1.148
34.360	1.798
34.413	0.964
34.466	0.976
34.521	0.612
34.576	0.538
34.632	0.386
34.687	0.493
34.742	0.377
34.798	0.432
34.853	0.545
34.909	0.576
34.964	0.654
35.036	0.722
35.110	0.554
35.184	0.544
35.259	0.583
35.333	0.571
35.408	0.520
35.482	0.179
35.556	0.362
35.631	0.177
35.707	0.185
35.783	0.128
35.859	0.171
35.934	0.484
36.010	0.361
36.086	0.609
36.162	0.926
36.238	0.693
36.309	1.057
36.389	0.258
36.469	0.830
36.548	0.885
36.628	0.468
36.708	0.297
36.788	0.215
36.868	0.187
36.947	0.226
37.027	0.346
37.112	0.349
37.203	0.185
37.294	0.182
37.385	0.205
37.475	0.260
37.566	0.258
37.657	0.410
37.748	0.480
37.839	0.408
37.930	0.435
38.021	0.521
38.113	0.726
38.205	0.801
38.296	1.585
38.388	1.458
38.480	2.072
38.571	1.042
38.663	0.812
38.755	1.019
38.847	1.819
38.941	1.441
39.035	1.321
39.129	1.650
39.223	1.615
39.317	1.247
39.411	1.089
39.505	0.978
39.599	1.192
39.693	0.995
39.785	1.821
39.876	1.084
39.967	0.967
40.058	1.460
40.149	1.181
40.240	NaN
40.331	0.140
40.422	0.579
40.513	1.198
40.603	0.964
40.674	0.812
40.744	0.230
40.815	0.271
40.885	0.637
40.956	0.321
41.026	0.283
41.097	0.680
41.167	0.370
41.238	0.419
41.307	0.534
41.376	1.548
41.445	0.406
41.514	0.249
41.652	0.357
41.721	0.849
41.859	1.787
41.928	1.337
41.996	1.039
42.064	0.375
42.131	0.426
42.199	0.221
42.269	0.581
42.340	0.700
42.410	0.789
42.480	0.263
42.551	0.531
42.622	0.106
42.694	0.279
42.766	0.177
42.838	0.277
42.910	0.745
42.982	0.601
43.054	0.765
43.126	1.218
43.198	0.978
43.270	0.994
43.342	1.052
43.414	1.060
43.486	0.920
43.558	1.083
